#separator:tab
#html:true
#columns:AudioRef	Question	Answer	Transcript	Tags
[sound:a1b2c3d4e5f6.mp3]	Did the speaker say the cat was inside the basket, or on top of it?	in (inside the basket)	The cat is in the basket near the window.	module:01 sense:spatial type:listening frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
[sound:b2c3d4e5f6a1.mp3]	Did the speaker say the meeting takes place at one specific location, or inside a building?	at (specific location, treated as a point)	We're meeting at the conference centre at three.	module:01 sense:spatial type:listening frequency:high register:neutral cefr:a2 image-schema:point generalisable:yes
[sound:c3d4e5f6a1b2.mp3]	According to the speaker, is the man sitting inside the car or on top of it?	in (inside the car)	The man is sitting in the car waiting for his daughter.	module:01 sense:spatial type:listening frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
[sound:d4e5f6a1b2c3.mp3]	Did the speaker say the passengers are inside the plane (in their seats) or that they are inside the engine?	on (passengers on a walk-in vehicle)	The passengers are on the plane and we are ready for takeoff.	module:01 sense:spatial type:listening frequency:high register:neutral cefr:a2 image-schema:support generalisable:yes
[sound:e5f6a1b2c3d4.mp3]	Is the speaker describing a building at a street corner, or someone standing in the interior corner of a room?	on (building on a street corner)	The new bakery on the corner of Park and Main has just opened.	module:01 sense:spatial type:listening frequency:mid register:neutral cefr:b1 image-schema:support generalisable:partial
[sound:f6a1b2c3d4e5.mp3]	Did the speaker say the report is due no later than Friday, or that someone will keep working continuously up to Friday?	by (deadline)	The report needs to be on my desk by Friday at the latest.	module:03 sense:temporal type:listening frequency:high register:formal cefr:b1 image-schema:none generalisable:yes contrast:by-vs-until
[sound:a1c3e5b2d4f6.mp3]	Did the speaker say the shop continuously stays open up to midnight, or that it will close before midnight?	until (continuous up to)	The bakery on the corner stays open until midnight on Fridays.	module:03 sense:temporal type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes contrast:by-vs-until
[sound:b2d4f6a1c3e5.mp3]	Did the speaker mention how long the person has lived in the city, or when they first arrived?	for (duration)	My uncle has lived in Vancouver for almost twenty years now.	module:03 sense:temporal type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes contrast:for-vs-since
[sound:c3e5a1b2d4f6.mp3]	Did the speaker mention how long the person has lived in the city, or when they first arrived?	since (starting point)	My uncle has lived in Vancouver since 2006.	module:03 sense:temporal type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes contrast:for-vs-since
[sound:d4f6b2c3e5a1.mp3]	Was 'during' used as a preposition with a noun phrase, or 'while' used as a conjunction with a full clause?	during (preposition + noun)	He took notes during the entire two-hour lecture without stopping.	module:03 sense:temporal type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes contrast:during-vs-while
[sound:a3f7c2b9e1d5.mp3]	Where is the picture hanging?	above the sofa	The picture hanging above the sofa shows a beautiful landscape painting.	module:02 sense:spatial type:listening frequency:high register:neutral cefr:a1 image-schema:over generalisable:yes
[sound:b5d8e4f2a9c1.mp3]	Where does the cat sleep?	under the blankets	The cat likes to sleep under the blankets because it feels warm and safe.	module:02 sense:spatial type:listening frequency:high register:neutral cefr:a1 image-schema:under generalisable:yes
[sound:c1f9a3e7b2d4.mp3]	Where was the child standing?	in front of the school	The child was standing in front of the school waiting for the bell to ring.	module:02 sense:spatial type:listening frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
[sound:d7b2c5e9a1f3.mp3]	Where did they find the key?	behind the door	They found the key behind the door in a small hiding place.	module:02 sense:spatial type:listening frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
[sound:e2a4d1f8c3b9.mp3]	Where is the town located?	between the mountains and the sea	The town is located between the mountains and the sea, in a scenic valley.	module:02 sense:spatial type:listening frequency:high register:neutral cefr:a1 image-schema:between generalisable:yes
[sound:f8c3b5d2a9e1.mp3]	Where are the flowers growing?	among the vegetables	The flowers are growing among the vegetables in the community garden.	module:02 sense:spatial type:listening frequency:high register:neutral cefr:a1 image-schema:cluster generalisable:yes
[sound:f509510018ad.mp3]	Where is the ladder?	against the wall	The ladder is leaning against the wall, ready to be used for repairs.	module:02 sense:spatial type:listening frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
[sound:17bf1aba93b2.mp3]	How far is the café?	near the train station	The café is near the train station, so it's convenient for commuters.	module:02 sense:spatial type:listening frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
[sound:49d8a4e357e3.mp3]	Where is the house?	beside the old oak tree	The house is beside the old oak tree, which provides shade in summer.	module:02 sense:spatial type:listening frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
[sound:ab51e653a6a8.mp3]	Where were the children?	around the playground equipment	The children were playing around the playground equipment all afternoon.	module:02 sense:spatial type:listening frequency:high register:neutral cefr:a1 image-schema:cluster generalisable:yes
[sound:25482913ad4b.mp3]	Where do the roots grow?	beneath the soil surface	The roots grow beneath the soil surface, drawing water and nutrients.	module:02 sense:spatial type:listening frequency:mid register:formal cefr:b1 image-schema:under generalisable:yes
[sound:570c30a57904.mp3]	Which route did the plane take?	over the mountains	The plane flew over the mountains to reach its destination on time.	module:02 sense:spatial type:listening frequency:high register:neutral cefr:a1 image-schema:over generalisable:yes
[sound:8c85d88bae66.mp3]	Where is the bench?	opposite the fountain	The bench is opposite the fountain in the town plaza, facing it directly.	module:02 sense:spatial type:listening frequency:mid register:neutral cefr:b1 image-schema:point generalisable:yes
[sound:f7fc0c82c4ec.mp3]	Where was Tom sitting?	next to his sister	Tom was sitting next to his sister throughout the entire concert.	module:02 sense:spatial type:listening frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
[sound:a57f22d93155.mp3]	Where is the car parked?	outside the garage	The car is parked outside the garage where everyone can see it.	module:02 sense:spatial type:listening frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
[sound:01a350a0d28f.mp3]	Where is she going?	to the market	She walked to the market to buy groceries for the week.	module:04 sense:movement type:listening frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
[sound:1644c10e205e.mp3]	What did the cat do?	ran into the house	The cat ran into the house when the storm started.	module:04 sense:movement type:listening frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
[sound:9c1fb0061424.mp3]	What did he jump on?	onto the table	He jumped onto the table to catch the falling book.	module:04 sense:movement type:listening frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
[sound:04a36e18b3ee.mp3]	Where did the ball go?	out of the box	The ball rolled out of the box and across the floor.	module:04 sense:movement type:listening frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
[sound:2999950ce4aa.mp3]	What happened to the lid?	came off the jar	The lid came off the jar when she turned it too hard.	module:04 sense:movement type:listening frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
[sound:d751d2188c3d.mp3]	Where is the letter from?	from Tokyo	The letter arrived from Tokyo last week with exciting news.	module:04 sense:movement type:listening frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
[sound:ae7deb2c3a32.mp3]	How did they traverse the park?	walked through the park	We walked through the park, enjoying the beautiful autumn scenery.	module:04 sense:movement type:listening frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
[sound:d09c85097b03.mp3]	What does the bridge do?	spans across the river	The bridge spans across the river at its widest point, connecting the two towns.	module:04 sense:movement type:listening frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
[sound:d0f67ce4d792.mp3]	Where did they walk?	along the beach	We walked along the beach searching for seashells after the storm.	module:04 sense:movement type:listening frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
[sound:abb329441f06.mp3]	What direction were they moving?	towards the exit	They moved towards the exit when the alarm sounded.	module:04 sense:movement type:listening frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
[sound:cee9754c9077.mp3]	Who was the child running from?	away from the dog	The child ran away from the large dog that was chasing.	module:04 sense:movement type:listening frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
[sound:4405ec32287e.mp3]	What is the climber doing?	climbing up the mountain	The climber struggled up the steep mountain face in bad weather.	module:04 sense:movement type:listening frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
[sound:f770bb9857b1.mp3]	How does the water move?	flows down the mountainside	Water flows down the mountainside after heavy rain, creating streams.	module:04 sense:movement type:listening frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
[sound:eab88363c002.mp3]	What happened as they drove?	drove past the house	The car drove past the house without stopping or slowing down.	module:04 sense:movement type:listening frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
[sound:4d7b17704d73.mp3]	Where did the package go?	shipped via airmail	The package was shipped via airmail to arrive within three days.	module:04 sense:movement type:listening frequency:mid register:formal cefr:b1 image-schema:path generalisable:yes
[sound:a3f7e2c1b9d4.mp3]	Listen and identify the preposition used in this sentence.	because of	The match was cancelled because of the rain.	module:08 sense:phrasal type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
[sound:b5f8d3e9a2c1.mp3]	Listen and identify the preposition used in this sentence.	due to	We couldn't attend the meeting due to unforeseen circumstances.	module:08 sense:phrasal type:listening frequency:high register:formal cefr:b1 image-schema:none generalisable:partial
[sound:c7a1f4e8b5d2.mp3]	Listen and identify the preposition used in this sentence.	thanks to	We succeeded thanks to your support.	module:08 sense:phrasal type:listening frequency:high register:neutral cefr:a2 image-schema:none generalisable:partial
[sound:d2b6e9c3f7a1.mp3]	Listen and identify the preposition used in this sentence.	despite	Despite his injuries, he played well.	module:08 sense:phrasal type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
[sound:e4c8f1a5b9d3.mp3]	Listen and identify the preposition used in this sentence.	in spite of	In spite of the difficulties, we continued.	module:08 sense:phrasal type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
[sound:f6d2a9e7c4b1.mp3]	Listen and identify the preposition used in this sentence.	in line with	Our proposal is in line with your company's values.	module:08 sense:phrasal type:listening frequency:high register:neutral cefr:b2 image-schema:none generalisable:partial
[sound:3583803fc51d.mp3]	Listen and identify the preposition used in this sentence.	in addition to	In addition to the main course, we served dessert.	module:08 sense:phrasal type:listening frequency:high register:formal cefr:b1 image-schema:none generalisable:partial
